% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
41.60%,Walt Disney Studios,,NADA,NADA,Month,12/09/2019,139,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,4,17,"4,662",1 / 788,1,Avengers: Endgame,Avengers: Endgame,26/04/2019,26/04/2019,"4,662",850000K,21,$858.4 Million,4,11,1,2397800564,$400M,858373000,1,357115007,67048,1,858373000,$858.4M,2797800564,"$2,398M"
35.30%,Walt Disney Studios,,NADA,NADA,Month,05/12/2019,139,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,7,13,"4,725",2 / 788,2,The Lion King,The Lion King,19/07/2019,19/07/2019,"4,802",540000K,21,$543.6 Million,7,11,1,1396313097,$260M,543638043,1,191770759,98919,2,543638043,$543.6M,1656313097,"$1,396M"
35.20%,Walt Disney Studios,,NADA,NADA,Month,,NA,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,12,45,"4,406",3 / 788,3,Star Wars: Episode IX - The Rise of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,20/12/2019,20/12/2019,"4,406",500000K,21,$503.9 Million,12,11,1,783358851,$275M,503863021,1,177383864,36453,3,503863021,$503.9M,1058358851,$783M
27.70%,Walt Disney Studios,,NADA,NADA,Month,,NA,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,11,9,"4,440",4 / 788,4,Frozen II,Frozen II,22/11/2019,22/11/2019,"4,440",470000K,21,$470.6 Million,11,11,1,1280042336,$150M,470637370,1,130263358,8120,4,470637370,$470.6M,1430042336,"$1,280M"
27.90%,Walt Disney Studios,,NADA,NADA,Month,05/12/2019,167,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,6,11,"4,575",5 / 788,5,Toy Story 4,Toy Story 4,21/06/2019,21/06/2019,"4,575",430000K,21,$434.0 Million,6,11,1,873394813,$200M,434038008,1,120908065,89280,5,434038008,$434.0M,1073394813,$873M
35.90%,Walt Disney Studios,,NADA,NADA,Month,04/07/2019,118,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,3,14,"4,310",6 / 788,6,Captain Marvel,Captain Marvel,08/03/2019,08/03/2019,"4,310",420000K,21,$426.8 Million,3,11,1,954729839,$175M,426829839,1,153433423,83928,6,426829839,$426.8M,1129729839,$955M
23.70%,Sony Pictures Releasing,,NADA,NADA,Month,24/10/2019,114,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,7,25,"4,634",7 / 788,7,Spider-Man: Far from Home,Spider-Man: Far from Home,02/07/2019,02/07/2019,"4,634",390000K,21,$390.5 Million,7,11,1,971927996,$160M,390532085,1,92579212,76436,7,390532085,$390.5M,1131927996,$972M
25.70%,Walt Disney Studios,,NADA,NADA,Month,24/10/2019,153,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,5,7,"4,476",8 / 788,8,Aladdin,Aladdin,24/05/2019,24/05/2019,"4,476",350000K,21,$355.6 Million,5,11,1,868959216,$182M,355559216,1,91500929,88125,8,355559216,$355.6M,1050959216,$869M
28.70%,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,10,5,"4,374",9 / 788,9,Joker,Joker,04/10/2019,04/10/2019,"4,374",330000K,21,$334.9 Million,10,11,1,1016727030,$55M,334873263,1,96202337,65350,9,334873263,$334.9M,1071727030,"$1,017M"
20.80%,Sony Pictures Releasing,,NADA,NADA,Month,,NA,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,12,23,"4,227",10 / 788,10,Jumanji: The Next Level,Jumanji: The Next Level,13/12/2019,13/12/2019,"4,227",280000K,21,$285.2 Million,12,11,1,629980194,$125M,285217153,1,59251543,96834,10,285217153,$285.2M,754980194,$630M
